timestamp_utc,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
2026-05-04 17:25:58,182728648,2026-05-04T17:25:58+00:00,1777915558313,2026-05-04T17:25:58+00:00,1777915558313,1970-01-01T00:00:00+00:00,1,0,1,4,0,182724396,0,4,0.05,0.0,4573.45,0.0,0.0,4573.45,0.0,XAUUSD,[sl 4573.45],
2026-05-04 17:26:36,182728968,2026-05-04T17:26:36+00:00,1777915596334,2026-05-04T17:26:36+00:00,1777915596335,1970-01-01T00:00:00+00:00,0,0,1,4,0,182728968,0,3,0.05,0.0,0.0,4570.87,4606.95,4573.37,0.0,XAUUSD,OV2|641e88|H1|B,
2026-05-04 17:27:50,182729480,2026-05-04T17:27:50+00:00,1777915670916,2026-05-04T17:27:50+00:00,1777915670916,1970-01-01T00:00:00+00:00,0,0,1,4,0,182729480,0,3,0.05,0.0,0.0,4572.09,4607.53,4574.59,0.0,XAUUSD,OV2|54343a|H1|B,
2026-05-04 17:29:25,182730162,2026-05-04T17:29:25+00:00,1777915765665,2026-05-04T17:29:25+00:00,1777915765665,1970-01-01T00:00:00+00:00,1,0,1,4,0,182729480,0,4,0.05,0.0,4572.09,0.0,0.0,4572.09,0.0,XAUUSD,[sl 4572.09],
2026-05-04 17:29:43,182730389,2026-05-04T17:29:43+00:00,1777915783165,2026-05-04T17:29:43+00:00,1777915783166,1970-01-01T00:00:00+00:00,1,0,1,4,0,182728968,0,4,0.05,0.0,4570.87,0.0,0.0,4570.87,0.0,XAUUSD,[sl 4570.87],
2026-05-04 17:31:45,182732318,2026-05-04T17:31:45+00:00,1777915905712,2026-05-04T17:31:45+00:00,1777915905712,1970-01-01T00:00:00+00:00,0,0,1,4,0,182732318,0,3,0.05,0.0,0.0,4576.7,4613.95,4579.21,0.0,XAUUSD,OV2|290670|H1|B,
2026-05-04 17:32:15,182732619,2026-05-04T17:32:15+00:00,1777915935214,2026-05-04T17:32:15+00:00,1777915935214,1970-01-01T00:00:00+00:00,1,0,1,4,0,182732318,0,4,0.05,0.0,4576.7,0.0,0.0,4576.7,0.0,XAUUSD,[sl 4576.70],
2026-05-04 17:33:05,182732874,2026-05-04T17:33:05+00:00,1777915985585,2026-05-04T17:33:05+00:00,1777915985585,1970-01-01T00:00:00+00:00,0,0,1,4,0,182732874,0,3,0.1,0.0,0.0,1.17074,1.17346,1.17142,0.0,EURUSD,OV2|d5bc33|H1|B,
2026-05-04 17:33:11,182732896,2026-05-04T17:33:11+00:00,1777915991110,2026-05-04T17:33:11+00:00,1777915991110,1970-01-01T00:00:00+00:00,0,0,1,4,0,182732896,0,3,0.05,0.0,0.0,4575.46,4610.25,4577.97,0.0,XAUUSD,OV2|d6c30d|H1|B,
2026-05-04 17:34:20,182733180,2026-05-04T17:34:20+00:00,1777916060036,2026-05-04T17:34:20+00:00,1777916060037,1970-01-01T00:00:00+00:00,0,0,1,4,0,182733180,0,3,0.05,0.0,0.0,4574.62,4609.88,4577.12,0.0,XAUUSD,OV2|a6d5d6|H1|B,
2026-05-04 17:34:25,182733206,2026-05-04T17:34:25+00:00,1777916065555,2026-05-04T17:34:25+00:00,1777916065555,1970-01-01T00:00:00+00:00,0,0,1,4,0,182733206,0,3,0.1,0.0,0.0,1.17081,1.1734499999999999,1.17147,0.0,EURUSD,OV2|eda2a3|H1|B,
2026-05-04 17:34:26,182733218,2026-05-04T17:34:26+00:00,1777916066136,2026-05-04T17:34:26+00:00,1777916066136,1970-01-01T00:00:00+00:00,1,0,1,4,0,182732896,0,4,0.05,0.0,4575.46,0.0,0.0,4575.46,0.0,XAUUSD,[sl 4575.46],
