time,Y,X,Beta,Spread,Z_Score
2026-03-20 17:07:00,4612.83,70.016,27.23047767687205,-6.053425348102792,-0.7000843883955162
2026-03-20 17:08:00,4601.26,69.556,27.262664785131008,-4.986178517196095,-0.5487570914960097
2026-03-20 17:09:00,4609.0,69.781,27.29427036616191,-3.2760854243770154,-0.31279537825676856
2026-03-20 17:10:00,4613.53,69.996,27.306570526621876,-4.568238285529333,-0.48402574481031796
2026-03-20 17:11:00,4599.17,69.61,27.31840992790017,-8.330971697684618,-0.9842993898411522
2026-03-20 17:12:00,4594.61,69.486,27.372820762772207,-9.322083402232238,-1.096448803172392
2026-03-20 17:13:00,4592.75,69.465,27.446117252440956,-10.375944031675317,-1.2108913342805032
2026-03-20 17:14:00,4587.38,69.251,27.530126826251873,-9.589640081934704,-1.078992867714887
2026-03-20 17:15:00,4578.67,69.065,27.61500834057741,-12.888757141934548,-1.4811438872741076
2026-03-20 17:16:00,4579.4,69.014,27.73920670054651,-10.334592613187851,-1.1103871654658883
2026-03-20 17:17:00,4571.75,68.839,27.83615783991449,-12.788631599681139,-1.398077430425781
2026-03-20 17:18:00,4563.24,68.647,27.964270981141198,-15.483929331745458,-1.6887479716781677
2026-03-20 17:19:00,4575.2,69.04,28.123777784985002,-13.99250752581429,-1.4469292228489368
2026-03-20 17:20:00,4570.58,68.885,28.248762863433342,-13.826696641601302,-1.3834821628684386
2026-03-20 17:21:00,4571.98,68.904,28.37974000013002,-12.527935942619479,-1.1877221873306496
2026-03-20 17:22:00,4568.43,68.694,28.50325467928294,-9.690328421654158,-0.8125714615930562
2026-03-20 17:23:00,4573.57,68.924,28.598513530372955,-10.796129002030284,-0.9358913300997898
2026-03-20 17:24:00,4569.02,68.828,28.701697000771084,-12.258660519696605,-1.0980088140847606
2026-03-20 17:25:00,4559.29,68.661,28.8187496329692,-16.790160514224226,-1.6147219357771299
2026-03-20 17:26:00,4560.03,68.716,28.98154970883037,-17.080901309065666,-1.591917854675295
2026-03-20 17:27:00,4555.51,68.508,29.14064341082232,-14.999131435435629,-1.2989281170494023
2026-03-20 17:28:00,4553.51,68.482,29.285046993086894,-15.719182151599853,-1.3475816023008105
2026-03-20 17:29:00,4558.43,68.618,29.424326174418667,-14.291609358612732,-1.146981245427587
2026-03-20 17:30:00,4571.6,69.026,29.54976726445684,-12.743974600592082,-0.9416991931353929
2026-03-20 17:31:00,4569.52,68.937,29.654111165828816,-11.873281998915445,-0.8222955712990332
2026-03-20 17:32:00,4570.49,68.953,29.75673595255636,-11.068539585043254,-0.7136798806742427
2026-03-20 17:33:00,4576.94,69.204,29.850027220812564,-11.827793324019694,-0.7931052549856179
2026-03-20 17:34:00,4580.59,69.311,29.927755727403735,-11.152951543960626,-0.6999243195960848
2026-03-20 17:35:00,4579.32,69.373,30.004454487813604,-14.074465038323979,-1.0371248922607046
2026-03-20 17:36:00,4581.81,69.5,30.08631158999366,-15.175044390777657,-1.1450382366280647
2026-03-20 17:37:00,4577.42,69.356,30.168850083190776,-14.997870913754014,-1.0983954180101305
2026-03-20 17:38:00,4576.1,69.36,30.24851892808586,-16.206647346924,-1.2148891659432381
2026-03-20 17:39:00,4574.63,69.393,30.33463460340308,-18.42946647559529,-1.438739961566674
2026-03-20 17:40:00,4575.68,69.382,30.428993616366075,-16.77399850686197,-1.2091715210620686
